Bird.ID,year,Infection,Un.ID,sample,samplea,sampleb,day,Mass,Fat.Score,Eye.Score.Left,Eye.Score.Right,Eye,hem,ant,anta,pathlog
662,2020,first,662first,1,0,0,17,,,0.5,0,0.5,,,,
662,2020,first,662first,1,1,0,21,20.38,1,0,0,0,52,,,0
664,2020,first,664first,1,1,1,0,22.06,0.5,0,0,0,51,0.047546305,pos,0
664,2020,first,664first,1,1,0,1,21.61,0,0,0,0,,,,13.72366
664,2020,first,664first,1,1,0,3,21.84,0.5,0.5,0,0.5,,,,14.28877
664,2020,first,664first,1,1,0,5,21.95,0,0.5,1,1.5,,,,14.93519
664,2020,first,664first,1,1,1,7,21.83,0.5,0,3,3,54,-0.000692681,neg,17.71977
664,2020,first,664first,1,0,0,10,,,0,3,3,,,,
664,2020,first,664first,1,1,1,14,21.06,0.5,0,2,2,65,0.068575387,pos,11.6547
664,2020,first,664first,1,0,0,17,,,0,0.5,0.5,,,,
664,2020,first,664first,1,1,1,21,23.43,0,0,0,0,59,0.049873009,pos,0
665,2020,first,665first,1,1,1,0,18.7,1,0,0,0,53,0.002291388,neg,0
665,2020,first,665first,1,1,0,1,18.13,1,0,0,0,,,,13.72366
665,2020,first,665first,1,1,0,3,18.04,1,0.5,0,0.5,,,,15.9841
665,2020,first,665first,1,1,0,5,18.07,0.5,0.5,0.5,1,,,,14.93519
665,2020,first,665first,1,1,1,7,18.37,0.5,0,0,0,47,0.007619487,neg,0
665,2020,first,665first,1,0,0,10,,,0,0,0,,,,
665,2020,first,665first,1,1,1,14,19.37,1,0,0,0,54,0.005541445,neg,0
665,2020,first,665first,1,0,0,17,,,0,0,0,,,,
665,2020,first,665first,1,1,0,21,19.74,0.5,0,0,0,55,,,0
667,2020,first,667first,1,1,1,0,20.25,2,0,0,0,49,-0.000572847,neg,0
667,2020,first,667first,1,1,0,1,19.35,2,0,0,0,,,,13.72366
667,2020,first,667first,1,1,0,3,18.76,2,0.5,0.5,1,,,,17.67943
667,2020,first,667first,1,1,0,5,18.19,1,2,2,4,,,,16.66562
667,2020,first,667first,1,1,1,7,18.4,1.5,2,1.5,3.5,40,0.002078042,neg,14.96292
667,2020,first,667first,1,0,0,10,,,2,1.5,3.5,,,,
667,2020,first,667first,1,1,1,14,19.12,2,2,1,3,54,0.029785269,neg,13.30881
667,2020,first,667first,1,0,0,17,,,0.5,0,0.5,,,,
667,2020,first,667first,1,1,0,21,19.76,1.5,0.5,0.5,1,56,,,0
669,2020,first,669first,1,1,1,0,19.37,2,0,0,0,46,0.005155623,neg,0
669,2020,first,669first,1,1,0,1,18.9,2,0,0,0,,,,14.28877
669,2020,first,669first,1,1,0,3,18.2,1,0.5,0,0.5,,,,14.28877
669,2020,first,669first,1,1,0,5,17.94,1,1,1,2,,,,16.66562
669,2020,first,669first,1,1,1,7,18.27,1,1.5,1,2.5,51,0.021195341,neg,14.93519
669,2020,first,669first,1,0,0,10,,,0.5,0.5,1,,,,
669,2020,first,669first,1,1,1,14,18.25,1,0.5,0,0.5,49,0.022165782,neg,0
669,2020,first,669first,1,0,0,17,,,0,0,0,,,,
669,2020,first,669first,1,1,1,21,19.06,1.5,0,0,0,47,0.027014546,neg,0
675,2020,first,675first,1,1,1,0,18.63,1.5,0,0,0,47,0.003437082,neg,0
675,2020,first,675first,1,1,0,1,18.03,1,0,0,0,,,,15.41899
675,2020,first,675first,1,1,0,3,17.03,0.5,1,1.5,2.5,,,,16.54921
675,2020,first,675first,1,1,0,5,16.26,0,2,2,4,,,,18.39605
675,2020,first,675first,1,1,0,7,16.25,0.5,2,2,4,50,,,17.1684
675,2020,first,675first,1,0,0,10,,,1,1,2,,,,
675,2020,first,675first,1,1,1,14,16.76,0,0,0.5,0.5,52,0.054721773,pos,0
675,2020,first,675first,1,0,0,17,,,0,0,0,,,,
675,2020,first,675first,1,1,0,21,17.51,1,0,0,0,51,,,0
678,2020,first,678first,1,1,1,0,20.28,3,0,0,0,53,0.0097384,neg,0
678,2020,first,678first,1,1,0,1,20.44,3,0,0,0,,,,
678,2020,first,678first,1,1,0,3,19.92,3,0,0.5,0.5,,,,14.28877
678,2020,first,678first,1,1,0,5,18.56,2.5,0.5,0.5,1,,,,16.66562
678,2020,first,678first,1,1,1,7,19.27,2,0.5,0.5,1,62,0.049264846,pos,13.30881
678,2020,first,678first,1,0,0,10,,,0,0,0,,,,
678,2020,first,678first,1,1,1,14,19.71,2.5,0,0,0,62,0.009697529,neg,0
678,2020,first,678first,1,0,0,17,,,0,0.5,0.5,,,,
678,2020,first,678first,1,1,0,21,20.09,3,0,0,0,58,,,0
679,2020,first,679first,1,1,1,0,19.48,1.5,0,0,0,50,0.030933741,pos,0
679,2020,first,679first,1,1,0,1,18.64,0.5,0,0,0,,,,14.28877
679,2020,first,679first,1,1,0,3,18.3,0.5,0,0,0,,,,17.71977
679,2020,first,679first,1,1,0,5,18.59,0.5,0.5,0.5,1,,,,18.39605
679,2020,first,679first,1,1,1,7,18.58,0.5,0.5,0.5,1,49,0.004582776,neg,16.66562
679,2020,first,679first,1,0,0,10,,,0.5,0,0.5,,,,
679,2020,first,679first,1,1,1,14,19.07,1,0.5,0,0.5,63,0.075502193,pos,13.30881
679,2020,first,679first,1,0,0,17,,,0.5,0,0.5,,,,
679,2020,first,679first,1,1,0,21,21.05,2,0,0,0,63,,,0
684,2020,first,684first,0,1,0,0,16.48,1,0,0,0,54,,,
684,2020,first,684first,0,1,0,1,16.47,1,0,0,0,,,,
