Bird.ID,year,Infection,Un.ID,sample,samplea,sampleb,day,Mass,Fat.Score,Eye.Score.Left,Eye.Score.Right,Eye,hem,ant,anta,pathlog
667,2020,first,667first,1,1,0,3,18.76,2,0.5,0.5,1,,,,2.842981486
667,2020,first,667first,1,1,0,5,18.19,1,2,2,4,,,,2.660029295
667,2020,first,667first,1,1,1,7,18.4,1.5,2,1.5,3.5,40,0.002078042,neg,2.635470559
667,2020,first,667first,1,0,0,10,,,2,1.5,3.5,,,,
667,2020,first,667first,1,1,1,14,19.12,2,2,1,3,54,0.029785269,neg,2.452315706
667,2020,first,667first,1,0,0,17,,,0.5,0,0.5,,,,
667,2020,first,667first,1,1,0,21,19.76,1.5,0.5,0.5,1,56,,,1.761480957
669,2020,first,669first,1,1,1,0,19.37,2,0,0,0,46,0.005155623,neg,0
669,2020,first,669first,1,1,0,1,18.9,2,0,0,0,,,,2.628823377
669,2020,first,669first,1,1,0,3,18.2,1,0.5,0,0.5,,,,2.553370388
669,2020,first,669first,1,1,0,5,17.94,1,1,1,2,,,,2.747487148
669,2020,first,669first,1,1,1,7,18.27,1,1.5,1,2.5,51,0.021195341,neg,2.614309052
669,2020,first,669first,1,0,0,10,,,0.5,0.5,1,,,,
669,2020,first,669first,1,1,1,14,18.25,1,0.5,0,0.5,49,0.022165782,neg,1.44243081
669,2020,first,669first,1,0,0,17,,,0,0,0,,,,
669,2020,first,669first,1,1,1,21,19.06,1.5,0,0,0,47,0.027014546,neg,0
675,2020,first,675first,1,1,1,0,18.63,1.5,0,0,0,47,0.003437082,neg,0
675,2020,first,675first,1,1,0,1,18.03,1,0,0,0,,,,2.651328611
675,2020,first,675first,1,1,0,3,17.03,0.5,1,1.5,2.5,,,,2.692349606
675,2020,first,675first,1,1,0,5,16.26,0,2,2,4,,,,2.854256308
675,2020,first,675first,1,1,0,7,16.25,0.5,2,2,4,50,,,2.760424179
675,2020,first,675first,1,0,0,10,,,1,1,2,,,,
675,2020,first,675first,1,1,1,14,16.76,0,0,0.5,0.5,52,0.054721773,pos,1.951271419
675,2020,first,675first,1,0,0,17,,,0,0,0,,,,
675,2020,first,675first,1,1,0,21,17.51,1,0,0,0,51,,,0
678,2020,first,678first,1,1,1,0,20.28,3,0,0,0,53,0.0097384,neg,1.721207045
678,2020,first,678first,1,1,0,1,20.44,3,0,0,0,,,,
678,2020,first,678first,1,1,0,3,19.92,3,0,0.5,0.5,,,,2.641716556
678,2020,first,678first,1,1,0,5,18.56,2.5,0.5,0.5,1,,,,2.798201229
678,2020,first,678first,1,1,1,7,19.27,2,0.5,0.5,1,62,0.049264846,pos,2.484230282
678,2020,first,678first,1,0,0,10,,,0,0,0,,,,
678,2020,first,678first,1,1,1,14,19.71,2.5,0,0,0,62,0.009697529,neg,1.66729752
678,2020,first,678first,1,0,0,17,,,0,0.5,0.5,,,,
678,2020,first,678first,1,1,0,21,20.09,3,0,0,0,58,,,1.532918809
679,2020,first,679first,1,1,1,0,19.48,1.5,0,0,0,50,0.030933741,pos,0
679,2020,first,679first,1,1,0,1,18.64,0.5,0,0,0,,,,2.590659234
679,2020,first,679first,1,1,0,3,18.3,0.5,0,0,0,,,,2.753710549
679,2020,first,679first,1,1,0,5,18.59,0.5,0.5,0.5,1,,,,2.880804857
679,2020,first,679first,1,1,1,7,18.58,0.5,0.5,0.5,1,49,0.004582776,neg,2.73318718
679,2020,first,679first,1,0,0,10,,,0.5,0,0.5,,,,
679,2020,first,679first,1,1,1,14,19.07,1,0.5,0,0.5,63,0.075502193,pos,2.467950494
679,2020,first,679first,1,0,0,17,,,0.5,0,0.5,,,,
679,2020,first,679first,1,1,0,21,21.05,2,0,0,0,63,,,1.917205407
684,2020,first,684first,0,1,0,0,16.48,1,0,0,0,54,,,
684,2020,first,684first,0,1,0,1,16.47,1,0,0,0,,,,
684,2020,first,684first,0,1,0,3,16.03,0.5,3,1.5,4.5,,,,
684,2020,first,684first,0,1,0,5,14.71,0,2.5,2.5,5,,,,
684,2020,first,684first,0,1,0,7,15.07,1,2.5,2.5,5,68,,,
684,2020,first,684first,0,0,0,10,,,2,2,4,,,,
684,2020,first,684first,0,1,0,14,16.18,0.5,1,1,2,57,,,
684,2020,first,684first,0,0,0,17,,,0,0.5,0.5,,,,
684,2020,first,684first,0,1,0,21,16.14,1,0,0.5,0.5,65,,,
688,2020,first,688first,0,1,0,0,16.25,2,0,0,0,48,,,
688,2020,first,688first,0,1,0,1,15.69,1,0,0,0,,,,
688,2020,first,688first,0,1,0,3,15.28,1,1.5,1.5,3,,,,
688,2020,first,688first,0,1,0,5,,,,,0,,,,
688,2020,first,688first,0,1,0,7,15.23,1,2.5,2.5,5,48,,,
688,2020,first,688first,0,0,0,10,,,0.5,0.5,1,,,,
688,2020,first,688first,0,1,0,14,15.34,1,0.5,0.5,1,51,,,
688,2020,first,688first,0,0,0,17,,,0,0,0,,,,
688,2020,first,688first,0,1,0,21,15.42,2,0,0,0,52,,,
